
    Name	Synopsis
    
    babble	    Package babble is the entry point to run a Babble node.
ok  common	    Package common contains utilities that are used accross various Babble packages.
ok  config	    Package config defines the configuration for a Babble node.
ok  crypto	    Package crypto implements cryptographic functions for Babble.
ok   keys	    Package keys implements the public key cryptography used throughout Babble.
ok  dummy	    Package dummy implements a barebones chat application to test Babble.
ok  hashgraph	Package hashgraph implements the distributed consensus algorithm.
ok   mobile	    Package mobile is a wrapper for Babble that can be compiled with gomobile for use in Android and iOS.
ok  net	        Package net implements different transports to communicate among Babble nodes.
ok   signal	    Package signal implements different signalling mechanisms for WebRTC.
ok    wamp	    Package wamp implements a WebRTC signaling system using RPC over WebSockets.
ok  node	    Package node implements the reactive component of a Babble node.
ok   state	    Package state defines the states of the node state machine.
ok  peers	    Package peers defines peers and implements functions to manage peer sets.
ok  proxy	    Package proxy defines and implements AppProxy: the interface between Babble and an application.     
ok    inmem	    Package inmem implements an in-memory AppProxy to use Babble directly from Go code.
ok    socket    Package socket implements both sides of a TCP AppProxy to run Babble and the application in separate processes.
ok     app      Package app implements a TCP AppProxy which resides inside Babble and connects to the other side of the proxy.
ok     babble   Package babble implements a component that the TCP AppProxy can connect to.
ok  service	    Package service implements an optional HTTP service to expose internal operation.
ok  version	    Package version manages the version string associated with a Babble build.
